1 a                   un                                      

12852 prideful            orgulloso                               

12853 priest              cura                                    

12854 priestess           sacerdotisa                             

12855 priesthood          sacerdocio                              

12856 primal              original                                

12857 primarily           principalmente                          

12858 primary             primario                                

12859 prime               primero                                 

12860 primer              cebador                                 

12861 primeval            prístino                                

12862 primitive           primitivo                               

12863 prince              príncipe                                

12864 princely            magnífico                               

12865 princers            tenazas                                 

12866 princess            princesa                                

12867 principal           principal                               

12868 principality        principado                              

12869 principle           principio                               

12870 print               impresión                               

12871 printer             impresor                                

12872 printing            impresión                               

12873 printout            ejemplar impreso                        

12874 prior               anterior                                

12875 priority            prioridad                               

12876 priory              priorato                                

12877 prism               prisma                                  

12878 prismatic           prismático                              

12879 prison              prisión                                 

12880 prisoner            prisionero                              

12881 pristine            prístino                                

12882 privacy             discreción                              

12883 private             privado                                 

12884 privately           privadamente                            

12885 privatization       privatización                           

12886 privatize           privatizar                              

12887 privilege           privilegio                              

12888 privileged          privilegiado                            

12889 privy               privado                                 

12890 prize               premio                                  

12891 probability         probabilidad                            

12892 probable            probable                                

12893 probably            probablemente                           

12894 probation           prueba                                  

12895 probe               sonda                                   

12896 problem             problema                                

12897 problematic         problemático                            

12898 procedure           procedimiento                           

12899 proceeding          procedimiento                           

12900 proceedings         actas                                   

12901 process             proceso                                 

12902 processing          procesamiento                           

12903 procession          procesión                               

12904 proclamation        proclamación                            

12905 proclivity          proclividad                             

12906 procrastination     dilación                                

12907 procreation         procreación                             

12908 procurement         procuración                             

12909 procurer            alcahuete                               

12910 prodigal            pródigo                                 

12911 prodigious          prodigioso                              

12912 prodigy             prodigio                                

12913 producer            productor                               

12914 product             producto                                

12915 production          producción                              

12916 productive          productivo                              

12917 productivity        productividad                           

12918 profane             profano                                 

12919 profanity           profanidad                              

12920 profession          profesión                               

12921 professional        profesional                             

12922 professionalism     profesionalismo                         

12923 professor           catedrático                             

12924 proficiency         habilidad                               

12925 proficient          hábil                                   

12926 profile             perfil                                  

12927 profit              beneficio                               

12928 profitability       rentabilidad                            

12929 profitable          aprovechable                            

12930 profitless          infructuoso                             

12931 profound            profundo                                

12932 profoundly          profundamente                           

12933 profundity          profundidad                             

12934 progeny             descendencia                            

12935 prognosis           prognosis                               

12936 program             programa                                

12937 programmer          programador                             

12938 programming         programación                            

12939 progress            progreso                                

12940 progression         progresión                              

12941 progressive         progresivo                              

12942 prohibition         prohibición                             

12943 prohibitive         prohibitivo                             

12944 project             proyecto                                

12945 projectile          proyectil                               

12946 projection          proyección                              

12947 projector           proyector                               

12948 proletarian         proletario                              

12949 proliferation       proliferación                           

12950 prolific            prolífico                               

12951 prologue            prólogo                                 

12952 prolongation        prolongación                            

12953 promenade           paseo                                   

12954 promfet             castañeta                               

12955 prominence          prominencia                             

12956 prominent           prominente                              

12957 promiscuity         promiscuidad                            

12958 promiscuous         promiscuo                               

12959 promising           prometedor                              

12960 promissory          pagaré                                  

12961 promontory          promontorio                             

12962 promoter            promotor                                

12963 promotion           promoción                               

12964 prompt              sugerencia                              

12965 pronator            pronador                                

12966 prone               prono                                   

12967 prong               diente                                  

12968 prongue             pincho (de la horca)                    

12969 pronoun             pronombre                               

12970 pronounced          pronunciado                             

12971 pronouncement       declaración                             

12972 pronunciation       pronunciación                           

12973 proof               prueba                                  

12974 prop                puntal                                  

12975 propaganda          propaganda                              

12976 propagation         propagación                             

12977 propeller           hélice                                  

12978 propensity          propensión                              

12979 proper              correcto                                

12980 properly            correctamente                           

12981 property            propiedad                               

12982 prophecy            profecía                                

12983 prophesy            profecía                                

12984 prophet             profeta                                 

12985 prophetic           profético                               

12986 propitious          propicio                                

12987 proportion          proporción                              

12988 proportionate       proporcionado                           

12989 proposal            propuesta                               

12990 proposition         proposición                             

12991 proprietary         registrado                              

12992 proprietor          propietario                             

12993 propulsion          propulsión                              

12994 prosaic             prosaico                                

12995 prose               prosa                                   

12996 prosecution         ministerio fiscal                       

12997 proselyte           prosélito                               

12998 proselytism         proselitismo                            

12999 prospect            perspectiva                             

13000 prospecting         prospección                             

13001 prospective         probable                                

13002 prospector          buscador                                

13003 prospectus          prospecto                               

13004 prosperity          prosperidad                             

13005 prosperous          próspero                                

13006 prostata            próstata                                

13007 prostate            próstata                                

13008 prosthesis          prótesis                                

13009 prostitute          prostituta                              

13010 prostitution        prostitución                            

13011 prostrate           postrado                                

13012 protagonist         protagonista                            

13013 protected           protegido                               

13014 protective          protector                               

13015 protector           protector                               

13016 protectorate        protectorado                            

13017 protege             protegido                               

13018 Protestant          protestante                             

13019 Protestantism       protestantismo                          

13020 prothesis           prótesis                                

13021 protocol            acta                                    

13022 proton              protón                                  

13023 prototype           prototipo                               

13024 protractor          transportador (de ángulos)              

13025 protuberance        protuberancia                           

13026 protuberant         protuberante                            

13027 proud               orgulloso                               

13028 proverb             proverbio                               

13029 proverbial          proverbial                              

13030 providence          providencia                             

13031 providential        providencial                            

13032 province            provincia                               

13033 provincial          provinciano                             

13034 provision           provisión                               

13035 provisional         provisional                             

13036 provisionally       provisionalmente                        

13037 provocation         provocación                             

13038 provocative         provocativo                             

13039 provost             preboste                                

13040 prow                proa                                    

13041 prowess             proeza                                  

13042 proximity           proximidad                              

13043 proxy               apoderado                               

13044 prudence            prudencia                               

13045 prudent             prudente                                

13046 prune               ciruela                                 

13047 pruning             poda                                    

13048 prying              entrometido                             

13049 psalm               salmo                                   

13050 pseudo              pseudo                                  

13051 pseudonym           seudónimo                               

13052 psichosis           frenopatía                              

13053 psyche              psique                                  

13054 psychedelic         psicodélico                             

13055 psychiatric         psiquiátrico                            

13056 psychiatrist        psiquiatra                              

13057 psychiatry          psiquiatría                             

13058 psychic             psíquico                                

13059 psychoanalysis      psicoanálisis                           

13060 psychological       psicológico                             

13061 psychologist        psicólogo                               

13062 psychology          psicología                              

13063 psychomotor         psicomotor                              

13064 psychopath          psicópata                               

13065 psychosis           psicosis                                

13066 psychosomatic       psicosomático                           

13067 psychotherapy       psicoterapia                            

13068 ptomaine            tomaína                                 

13069 pub                 taberna                                 

13070 puberty             pubertad                                

13071 pubes               pubis                                   

13072 pubic               púbico                                  

13073 public              público                                 

13074 publican            publicano                               

13075 publication         publicación                             

13076 publicist           publicista                              

13077 publicity           publicidad                              

13078 publicly            públicamente                            

13079 publishable         publicable                              

13080 publisher           editor                                  

13081 publishing          publicación                             

13082 puck                duende                                  

13083 pudding             budín                                   

13084 puddle              charco                                  

13085 puerperium          puerperio                               

13086 puff                bollo esponjado                         

13087 puffin              frailecillo                             

13088 pugnacious          belicoso                                

13089 puke                vómito                                  

13090 pullover            jersey                                  

13091 pulmonary           pulmonar                                

13092 pulp                pulpa                                   

13093 pulpit              púlpito                                 

13094 pulsar              púlsar                                  

13095 pulsation           pulsación                               

13096 pulse               pulso                                   

13097 pulverize           pulverice                               

13098 puma                puma                                    

13099 pumice              piedra pómez                            

13100 pump                bomba                                   

13101 pun                 juego de palabras                       

13102 punch               ponche                                  

13103 punctual            puntual                                 

13104 punctuality         puntualidad                             

13105 punctuation         puntuación                              

13106 puncture            perforación                             

13107 pungent             picante                                 

13108 punishment          castigo                                 

13109 punitive            de castigo                              

13110 punt                batea                                   

13111 punter              jugador                                 

13112 puny                endeble                                 

13113 pup                 cachorro                                

13114 pupa                crisálida                               

13115 pupil               pupilo                                  

13116 puppet              títere                                  

13117 puppy               cachorro                                

13118 purchase            compra                                  

13119 purchaser           comprador                               

13120 pure                puro                                    

13121 puree               puré                                    

13122 purely              completamente                           

13123 purgative           purgante                                

13124 purgatory           purgatorio                              

13125 purge               depuración                              

13126 purification        purificación                            

13127 purist              purista                                 

13128 puritanical         puritano                                

13129 purity              pureza (de color)                       

13130 purple              púrpura (color)                         

13131 purport             significado                             

13132 purpose             propósito                               

13133 purposeful          determinado                             

13134 purr                ronroneo                                

13135 purse               cartera                                 

13136 purser              contador                                

13137 pursuit             persecución                             

13138 pus                 pus                                     

13139 push                empujón                                 

13140 pushcart            carretilla                              

13141 pusher              arribista                               

13142 puss                gato                                    

13143 pussy               gato                                    

13144 pustule             pústula                                 

13145 puting              faneca                                  

13146 putrefaction        putrefacción                            

13147 putrid              podrido                                 

13148 putty               masilla                                 

13149 puzzle              enigma                                  

13150 puzzlement          perplejidad                             

13151 pygmy               pigmeo                                  

13152 pylon               pilón                                   

13153 pylorous            píloro                                  

13154 pyramid             pirámide                                

13155 pyramidal           piramidal                               

13156 pyre                pira                                    

13157 Pyrenees            Pirineos (los -)                        

13158 pyrophosphato       pirofosfato                             

13159 pyrotechnics        pirotecnia                              

13160 python              pitón                                   

13161 quackery            charlatanismo                           

13162 quadrangle          cuadrángulo                             

13163 quadrant            cuadrante                               

13164 quadraphonic        cuadrafónico                            

13165 quadrate            cuadrado                                

13166 quadratic           cuadrático                              

13167 quadrature          cuadratura                              

13168 quadriceps          cuadríceps                              

13169 quadrilateral       cuadrilátero                            

13170 quadroon            cuarterón                               

13171 quadruped           cuadrúpedo                              

13172 quadruple           cuádruplo                               

13173 quadruplet          cuatrillizo                             

13174 quagmire            ciénaga                                 

13175 quail               codorniz                                

13176 quaint              pintoresco                              

13177 quake               temblor                                 

13178 Quakerism           cuaquerismo                             

13179 qualification       aptitud                                 

13180 qualifier           calificador                             

13181 qualify             capacitar                               

13182 qualifying          calificativo                            

13183 qualitative         cualitativo                             

13184 quality             calidad                                 

13185 qualm               náusea                                  

13186 quandary            dilema                                  

13187 quantitative        cuantitativo                            

13188 quantity            cantidad                                

13189 quantum             cuanto                                  

13190 quarantine          cuarentena                              

13191 quarrel             riña                                    

13192 quarrelsome         pendenciero                             

13193 quarry              cantera                                 

13194 quart               cuarto de galón                         

13195 quarter             cuarto                                  

13196 quarterly           trimestral                              

13197 quartermaster       administrador de un regimiento          

13198 quartet             cuarteto                                

13199 quartile            cuartil                                 

13200 quartz              cuarzo                                  

13201 quasar              quásar                                  

13202 quaternary          cuaternario                             

13203 quaver              temblor                                 

13204 quay                muelle                                  

13205 queasy              nauseabundo                             

13206 queen               reina                                   

13207 queenly             de reina                                

13208 queer               raro                                    

13209 query               consulta                                

13210 quest               demanda                                 

13211 question            pregunta                                

13212 questionable        cuestionable                            

13213 questioning         interrogatorio                          

13214 questionnaire       encuesta                                

13215 queue               cola                                    

13216 queuing             ponerse en la cola                      

13217 quibble             sutileza                                

13218 quibbler            sofista                                 

13219 quick               rápido                                  

13220 quicklime           cal viva                                

13221 quickly             rápidamente                             

13222 quicksand           arena movediza                          

13223 quicksilver         mercurio                                

13224 quickstep           paso ligero                             

13225 quid                libra (esterlina)                       

13226 quiescent           quieto                                  

13227 quiet               tranquilo                               

13228 quietly             calladamente                            

13229 quietness           quietud                                 

13230 quietude            quietud                                 

13231 quill               pluma                                   

13232 quilt               colcha                                  

13233 quilted             acolchado                               

13234 quilting            acolchado                               

13235 quince              membrillo (árbol de)                    

13236 quinine             quinina                                 

13237 quintal             quintal                                 

13238 quintessence        quintaesencia                           

13239 quintet             quinteto                                

13240 quintillion         quintillón                              

13241 quintuple           quíntuplo                               

13242 quintuplet          quíntuplo                               

13243 quip                sarcasmo                                

13244 quirk               rareza                                  

13245 quite               realmente                               

13246 quits               desquitados                             

13247 quiver              carcaj                                  

13248 quiz                acertijo                                

13249 quorum              quórum                                  

13250 quota               cupo                                    

13251 quotation           cita                                    

13252 quote               citar                                   

13253 quotient            cociente                                

13254 r                   carcelero                               

13255 rabbi               rabí                                    

13256 rabbit              conejo                                  

13257 rabble              canalla                                 

13258 rabid               rabioso                                 

13259 rabies              rabia                                   

13260 race                raza                                    

13261 racecourse          hipódromo                               

13262 racer               corredor                                

13263 racetrack           pista                                   

13264 racial              racial                                  

13265 racialism           racismo                                 

13266 racialist           racista                                 

13267 racing              carrera                                 

13268 racism              racismo                                 

13269 racist              racista                                 

13270 rack                bastidor                                

13271 racket              raqueta                                 

13272 racketeer           chantajista                             

13273 racquet             raqueta                                 

13274 racy                chispeante                              

13275 radial              radial                                  

13276 radiance            fulgor                                  

13277 radiant             radiante                                

13278 radiation           radiación                               

13279 radiator            radiador                                

13280 radical             radical                                 

13281 radicalism          radicalismo                             

13282 radically           radicalmente                            

13283 radio               radio                                   

13284 radioactive         radiactivo                              

13285 radioactivity       radioactividad                          

13286 radiograph          radiografía                             

13287 radiography         radiografía                             

13288 radioisotope        isótopo radioactivo                     

13289 radiological        radiológico                             

13290 radiotherapy        radioterapia                            

13291 radious             radio                                   

13292 radish              rábano                                  

13293 radium              radio                                   

13294 radius              radio                                   

13295 raffle              rifa                                    

13296 raft                balsa                                   

13297 rafter              viga                                    

13298 rag                 trapo                                   

13299 ragamuffin          pelagatos                               

13300 rage                rabia                                   

13301 ragged              roto                                    

13302 raging              rabioso                                 

13303 raid                correría                                

13304 raider              invasor                                 

13305 rail                barra                                   

13306 railing             barandilla                              

13307 railroad            ferrocarril                             

13308 railway             vía ferrea                              

13309 rain                lluvia                                  

13310 rainbow             arco iris                               

13311 raincoat            impermeable                             

13312 raindrop            gota de lluvia                          

13313 rainfall            aguacero                                

13314 rainwear            impermeable                             

13315 rainy               lluvioso                                

13316 raise               aumento                                 

13317 raisin              pasa                                    

13318 rake                rastrillo                               

13319 rally               reunión                                 

13320 ram                 carnero                                 

13321 rambling            laberíntico                             

13322 ramdomly            aleatoriamente                          

13323 ramification        ramificación                            

13324 ramp                rampa                                   

13325 rampage             alboroto                                

13326 rampart             baluarte                                

13327 ramrod              baqueta                                 

13328 ramshackle          ruinoso                                 

13329 ranch               rancho                                  

13330 rancher             ranchero                                

13331 rancid              rancio                                  

13332 rancor              rencor                                  

13333 rancorous           rencoroso                               

13334 random              aleatorio                               

13335 randomly            al azar                                 

13336 range               alcance                                 

13337 ranger              guardabosques                           

13338 rank                línea                                   

13339 ranking             clasificación                           

13340 ransom              rescate                                 

13341 rant                delirio                                 

13342 rap                 golpe seco                              

13343 rapacious           rapaz                                   

13344 rapacity            rapacidad                               

13345 rape                violación                               

13346 rapid               rápido                                  

13347 rapidity            rapidez                                 

13348 rapidly             rápidamente                             

13349 rapier              estoque                                 

13350 rapine              rapiña                                  

13351 rapport             relación                                

13352 rapporteur          narrador                                

13353 rapt                absorto                                 

13354 rapture             rapto                                   

13355 rapturous           arrebatado                              

13356 rare                raro                                    

13357 rarely              raramente                               

13358 rarity              rareza                                  

13359 rascal              bribón                                  

13360 rascally            pícaro                                  

13361 rash                roncha                                  

13362 rasher              lonja                                   

13363 rashness            irreflexión                             

13364 rasping             raspado                                 

13365 raster              trama                                   

13366 rat                 rata                                    

13367 ratable             valorable                               

13368 rate                cadencia                                

13369 rather              más bien                                

13370 ratification        ratificación                            

13371 rating              escala de dificultad                    

13372 ratio               proporción                              

13373 ration              ración                                  

13374 rational            racional                                

13375 rationale           razón fundamental                       

13376 rationalism         racionalismo                            

13377 rationality         racionalidad                            

13378 rationalization     racionalización                         

13379 rationing           racionamiento                           

13380 rattle              charla                                  

13381 rattler             parlanchín                              

13382 rattlesnake         crótalo                                 

13383 raucous             ronco                                   

13384 raunchy             grosero                                 

13385 ravage              ruina                                   

13386 raven               cuervo                                  

13387 ravenous            voraz                                   

13388 ravine              barranco                                

13389 raving              delirio                                 

13390 raw                 crudo                                   

13391 rawboned            esquelético                             

13392 ray                 raya                                    

13393 rayon               rayón                                   

13394 rays                rayos                                   

13395 raze                arrasar                                 

13396 razor               cuchilla de afeitar                     

13397 reabsorption        reabsorción                             

13398 reaction            reacción                                

13399 reactionary         reaccionario                            

13400 reactivation        reactivación                            

13401 reactor             reactor                                 

13402 readable            leíble                                  

13403 reader              lector                                  

13404 readily             de buena gana                           

13405 readiness           prontitud                               

13406 reading             lectura                                 

13407 ready               listo                                   

13408 real                real                                    

13409 real-time           tiempo real                             

13410 realism             realismo                                

13411 realist             realista                                

13412 realistic           realista                                

13413 reality             realidad                                

13414 realizable          realizable                              

13415 realization         realización                             

13416 reallocation        reasignación                            

13417 really              verdaderamente                          

13418 realm               reino                                   

13419 realty              bienes raíces                           

13420 ream                resma                                   

13421 reaper              segador                                 

13422 reappraisal         revaluación                             

13423 rear                trasero                                 

13424 rearmost            último                                  

13425 rearrangement       reestructuración                        

13426 rearward            retaguardia                             

13427 reason              motivo                                  

13428 reasonable          razonable                               

13429 reasonably          bastante                                

13430 reasoning           razonamiento                            

13431 reassignment        reasignación                            

13432 reassurance         certeza                                 

13433 reassuring          tranquilizante                          

13434 rebate              rebaja                                  

13435 rebel               rebelde                                 

13436 rebellion           rebelión                                

13437 rebellious          rebelde                                 

13438 rebirth             renacimiento                            

13439 rebound             rebote                                  

13440 rebuff              desaire                                 

13441 rebuilding          reconstrucción                          

13442 rebuke              reproche                                

13443 rebuttal            refutación                              

13444 recalcification     recalcificación                         

13445 recalcitrant        recalcitrante                           

13446 recantation         retracto                                

13447 recapitulation      recapitulación                          

13448 receipt             recepción                               

13449 receipts            ingresos                                

13450 receivable          por cobrar                              

13451 received            recibido                                

13452 receiver            receptor                                

13453 receiving           recepción                               

13454 recent              reciente                                

13455 recently            recientemente                           

13456 receptacle          receptáculo                             

13457 reception           recepción                               

13458 receptionist        recepcionista                           

13459 receptive           receptivo                               

13460 receptor            receptor                                

13461 recess              hueco                                   

13462 recession           retroceso                               

13463 recharge            recarga                                 

13464 recidivist          reincidente (criminal -)                

13465 recipe              receta                                  

13466 reciprocal          recíproco                               

13467 reciprocation       reciprocidad                            

13468 recital             relación                                

13469 recitation          relación                                

13470 recitative          recitativo                              

13471 reckless            temerario                               

13472 recklessness        atolondramiento                         

13473 reckon              darse cuenta                            

13474 reckoner            tabla                                   

13475 reckoning           cuenta                                  

13476 reclamation         reclamación                             

13477 recluse             recluso                                 

13478 recognition         reconocimiento                          

13479 recoil              retroceso                               

13480 recollection        recolección                             

13481 recommendation      recomendación                           

13482 recommended         recomendado                             

13483 recompense          recompensa                              

13484 reconcilable        reconciliable                           

13485 reconciliation      conciliación                            

13486 recondite           recóndito                               

13487 reconnaissance      reconocimiento                          

13488 reconstitution      reconstitución                          

13489 reconstruction      reconstrucción                          

13490 reconvalescence     convalecencia                           

13491 record              anotación                               

13492 recorder            grabadora                               
